parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
13135747,,,,0,0,,,,,,1776,1776,,,,,6037,,,,,,,34115061,-117752634,,,,,,,070P,263,,60374016.01,39308,3101,,96494,0,,,,,,,1976,,,,,2016,,434.23,,,
13135947,,,,0,0,,,,,,1596,1596,,,,,6037,,,,,,,34046387,-117815445,,,,,,,070P,263,,60374024.03,20008,3101,,96508,0,,,,,,,1999,,,,,2016,,450.77,,,
13136147,,,,0,0,,,,,,1040,1040,,,,,6037,,,,,,,34021582,-117915892,,,,,,,070P,263,,60374081.38,118217,3101,,96488,0,,,,,,,1989,,,,,2016,,261.51,,,
13136347,,,,0,0,,,,,,1512,1512,,,,,6037,,,,,,,34024753,-117915266,,,,,,,070P,263,,60374081.33,118217,3101,,96488,0,,,,,,,1998,,,,,2016,,661.3,,,
13136547,,,,0,0,,,,,,1440,1440,,,,,6037,,,,,,,33856782,-118220772,,,,,,,070P,263,,60375433.05,24174,3101,,96090,0,,,,,,,1982,,,,,2016,,301.9,,,
13136747,,,,0,0,,,,,,1344,1344,,,,,6037,,,,,,,33856782,-118220772,,,,,,,070P,263,,60375433.05,24174,3101,,96090,0,,,,,,,1980,,,,,2016,,198.8,,,
13136947,,,,0,0,,,,,,1440,1440,,,,,6037,,,,,,,33856782,-118220772,,,,,,,070P,263,,60375433.05,24174,3101,,96090,0,,,,,,,1998,,,,,2016,,565.6,,,
13137147,,,,0,0,,,,,,1456,1456,,,,,6037,,,,,,,34621824,-118224390,,,,,,,070P,263,,60379103.02,40227,3101,,97329,0,,,,,,,1999,,,,,2016,,659.34,,,
13137347,,,,0,0,,,,,,1056,1056,,,,,6037,,,,,,,34619963,-118221259,,,,,,,070P,263,,60379103.02,40227,3101,,97329,0,,,,,,,2003,,,,,2016,,815.72,,,
13137547,,,,0,0,,,,,,1120,1120,,,,,6037,,,,,,,34619963,-118221259,,,,,,,070P,263,,60379103.02,40227,3101,,97329,0,,,,,,,1985,,,,,2016,,568.6,,,
13137747,,,,0,0,,,,,,1792,1792,,,,,6037,,,,,,,34316857,-118401876,,,,,,,070P,263,,60371061.11,12447,3101,34213,96368,0,,,,,,,1989,,,,,2016,,566.19,,,
13137947,,,,0,0,,,,,,1200,1200,,,,,6037,,,,,,,34558548,-118109732,,,,,,,700,263,,60379105.05,40227,3101,,97328,0,,,,,,,1985,,,,,2016,,224.11,,,
13138147,,,,0,0,,,,,,1152,1152,,,,,6037,,,,,,,33930195,-118229419,,,,,,,700,263,,60375404,,3101,,96040,0,,,,,,,1977,,,,,2016,,201.6,,,
13138347,,,,0,0,,,,,,1036,1036,,,,,6037,,,,,,,34428643,-118482122,,,,,,,700,263,,60379200.29,54311,3101,37739,96374,0,,,,,,,2002,,,52630,71397,2016,18767,1239.93,,,
13138547,,,,0,0,,,,,,1311,1311,,,,,6037,,,,,,,34429346,-118485725,,,,,,,700,263,,60379200.29,54311,3101,37739,96374,0,,,,,,,1992,,,60178,78945,2016,18767,1584.45,,,
13871747,,,,2.5,3,,,2.5,,,1821,1821,,,,,6059,,2,2,458,,,33863685,-117938506,2442,,,,,,1,261,,60590111.02,24812,1286,,97040,0,,1,,,,,2013,,,265668,537949,2016,272281,6173.72,,,
13951347,,,,3.5,4,,,3.5,,,2684,2684,,,,,6059,,3,2,420,,,33748083,-117948108,3510,,,,,,1,261,,60590889.04,34780,1286,,96990,0,,1,,,,,2014,,,395167,644990,2016,249823,7572.58,,,
13963347,,,,2.5,3,,,2.5,,,2284,2284,,,,,6059,,2,2,525,,,33687181,-117753231,3398,,,,,,1,261,,60590524.18,52650,1286,276581,96954,0,,1,,,,,2014,,,478915,934353,2016,455438,13273.94,,,
14097747,,,,0,0,,,,,,15341,,,,,15341,6059,,,,,,,33800071,-118070627,32972,,,,,,128,47,,60591100.14,46314,1286,,96218,0,,,,2,,,1981,2,,1342517,1623249,2016,280732,20408.24,,,
14281747,,,,3,3,,,3,,,2342,2342,,,,,6059,,3,2,410,,,33646579,-117902609,3508,,,,,,1,261,,60590632.01,,1286,,96959,0,,,,,,,2014,,,401678,1170140,2016,768462,12861.66,,,
14284947,,,,3,4,,,3,,,2666,2666,,,,,6059,,3,2,441,,,33714381,-117821011,5145,,,,,,1,261,,60590755.15,,1286,,,0,,,,,,,2015,,,494837,926448,2016,431611,15751.54,,,
14285147,,,,0,0,,,,,,,,,,,,6059,,,,,,,33714381,-117821011,,,,,,,1,269,,60590755.15,,1286,,,0,,,,,,,,,,,154638,2016,154638,6864.88,,,
14310947,,,,3,4,,,3,,,2642,2642,,,,,6059,,3,2,428,,,33659879,-117808611,3663,,,,,,1,261,,60590626.12,,1286,,96947,0,,,,,,,2013,,,408176,1422754,2016,1014578,14398.86,,,
14341547,,,,0,0,,,,,,,,,,,,6059,,,,,,,33737185,-117751869,,,,,,,1,269,,60590524.2,52650,1286,403127,96939,0,,,,,,,,,,,17021,2016,17021,4543.6,,,
14341747,,,,0,0,,,,,,,,,,,,6059,,,,,,,33738284,-117751847,,,,,,,1,269,,60590524.2,,1286,,96939,0,,,,,,,,,,,17020,2016,17020,4543.58,,,
14355547,,,,0,0,,,,,,,,,,,,6059,,,,,,,33710069,-117739091,,,,,,,1,269,,60590524.26,52650,1286,403197,96954,0,,,,,,,,,,,2716,2016,2716,4424.48,,,
14356347,,,,3.5,4,,,3.5,,,2393,2393,,,,,6059,,3,2,481,,,33686633,-117751314,3418,,,,,,1,261,,60590524.18,52650,1286,276486,96954,0,,1,,,,,2014,,,484712,947289,2016,462577,13376.86,,,
14358547,,,,5.5,5,,,5.5,,,4092,4092,,,,,6059,,5,2,719,,,33696485,-117724943,6519,,,,,,1,261,,60590524.26,52650,1286,403197,96954,0,,1,,,,,2013,,,822070,1697000,2016,874930,27653.5,,,
14358747,,,,3,4,,,3,,,2536,2536,,,,,6059,,3,2,522,,,33700729,-117727933,4554,,,,,,1,261,,60590524.26,52650,1286,403196,96952,0,,,,,,,2014,,,402776,1009158,2016,606382,16929.78,,,
14359347,,,,0,0,,,,,,,,,,,,6059,,,,,,,33701580,-117728214,,,,,,,1,269,,60590524.26,,1286,,96952,0,,,,,,,,,,,705409,2016,705409,17794.24,,,
14366947,,,,4.5,5,,,4.5,,,3066,3066,,,,,6059,,4,2,424,,,33670038,-117687276,4538,,,,,,1,261,,60590524.22,32380,1286,,96962,0,,1,,,,,2015,,,567390,1151781,2016,584391,12031.72,,,
14459947,,,,2,2,,,2,,,1970,1970,,,,,6059,,2,2,440,,,33525974,-117621817,3856,,,,,,1,261,,60590320.61,15554,1286,,96998,0,,,,,,,2013,,,276693,637686,2016,360993,9729.72,,,
14460147,,,,3,4,,,3,,,2695,2695,,,,,6059,,3,2,507,,,33528291,-117624187,4433,,,,,,1,261,,60590320.61,33840,1286,,96998,0,,,,,,,2014,,,453434,871722,2016,418288,14150.72,,,
14514547,,,,0,0,,,,,,,,,,,,6059,,,,,,,33746500,-117925000,,,,,,,0,263,,60590890.04,47568,1286,268441,97003,0,,,,,,,,,,7498,7498,2016,,82.04,,,
14515347,,,,0,0,,,,,,,,,,,,6059,,,,,,,33746100,-117909000,,,,,,,0,263,,60590748.03,47568,1286,,97003,0,,,,,,,,,,39814,39814,2016,,443.2,,,
14518947,,,,0,0,,,,,,,,,,,,6059,,,,,,,33799700,-117990000,,,,,,,0,263,,60590879.01,42967,1286,,96203,0,,,,,,,,,,20255,20255,2016,,217.48,,,
14527747,,,,0,0,,,,,,,,,,,,6059,,,,,,,33726650,-117808465,,,,,,,0,263,,60590525.02,27491,1286,,97016,0,,,,,,,,,,117794,117794,2016,,1208.22,,,
14591347,,,,0,0,,,,,,,,,,,,6059,,,,,,,33827543,-117994994,,,,,,,0,263,,60590869.02,16764,1286,118872,97023,0,,,,,,,,,,6989,132077,2016,125088,1623.12,,,
14609147,,,,2.5,3,,,2.5,,,1855,1855,,,,,6059,,2,2,0,,,33863571,-117939666,,,,,,,1,266,,60590111.02,24812,1286,,97040,0,,1,,,,,2013,,,259565,480477,2016,220912,5547.2,,,
14618547,,,,2.5,3,,,2.5,,,2052,2052,,,,,6059,,2,2,0,,,33682242,-117757943,,,,,,,1,266,,60590524.18,52650,1286,276581,96954,0,,1,,,,,2015,,,325542,791214,2016,465672,11581.32,,,
14618747,,,,3.5,3,,,3.5,,,1888,1888,,,,,6059,,3,2,0,,,33683239,-117758697,,,,,,,1,266,,60590524.18,52650,1286,276581,96954,0,,1,,,,,2014,,,268740,690166,2016,421426,10142.48,,,
14633147,,,,3,4,,,3,,,2164,2164,,,,,6059,,3,2,0,,,33695945,-117729931,,,,,,,1,266,,60590524.26,52650,1286,403196,96952,0,,,,,,,2014,,,425775,865998,2016,440223,14387.24,,,
14636347,,,,2.5,3,,,2.5,,,1739,1739,,,,,6059,,2,2,0,,,33702604,-117734868,,,,,,,1,266,,60590524.26,52650,1286,403197,96954,0,,1,,,,,2012,,,267747,655718,2016,387971,10245.22,,,
14639947,,,,3,4,,,3,,,2245,2245,,,,,6059,,3,2,0,,,33905285,-117844108,,,,,,,1,266,,60590117.17,26531,1286,,97068,0,,,,,,,2014,,,344352,639959,2016,295607,7964.74,,,
14683147,,,,2.5,3,,,2.5,,,1777,1777,,,,,6059,,2,2,0,,,33706165,-117744016,,,,,,,1,266,,60590524.26,52650,1286,403197,96954,0,,1,,,,,2014,,,257022,674728,2016,417706,10239.98,,,
14707547,,,,0,0,,,,,,,,,,,,6059,,,,,,,33723568,-118051714,,,,,,,1,266,,60590995.08,25218,1286,,96967,0,,,,,,,,,,8456,165410,2016,156954,1956.56,,,
14723547,,,,4,4,,,4,,,2380,2380,,,,,6059,,4,2,0,,,33736471,-117755999,,,,,,,1,266,,60590524.2,,1286,,97067,0,,,,,,,2014,,,370032,1009189,2016,639157,14321.94,,,
14737547,,,,3,3,,,3,,,1537,1537,,,,,6059,,3,2,0,,,33669079,-117672715,,,,,,,1,266,,60590524.22,32380,1286,,96962,0,,,,,,,2014,,,229699,536878,2016,307179,5621.28,,,
14748947,,,,3.5,3,,,3.5,,,3125,3125,,,,,6059,,3,,,,,33621178,-117879309,,,,,,,1,266,,60590630.08,53571,1286,,96978,0,,1,,,,,2014,,,819394,3756049,2016,2936655,39765.28,,,
14755747,,,,2.5,3,,,2.5,,,2376,2376,,,,,6059,,2,2,0,,,33910143,-117847490,,,,,,,1,266,,60590218.15,17150,1286,,97037,0,,1,,,,,2013,,,349490,741375,2016,391885,9035.92,,,
14762147,,,,2.5,4,,,2.5,,,2522,2522,,,,,6059,,2,2,507,,,33634949,-117832340,4904,,,,,,1,261,,60590626.14,52650,1286,275795,96951,0,,1,,,,,2012,,,570405,587490,2016,17085,6000.18,,,
17061147,,,,0,0,,,,,,,,,,,,6111,,,,,,,34430592,-119158001,892352,,,,,,1112,261,,61110009.02,13091,2061,,97099,0,,,,,,,,,,348503,572080,2016,223577,6142.48,,,
17099147,,,,0,0,,,,,,3733,,,3733,,,6111,,,,,,,34355400,-119060000,7125,,,,,,5050,31,,61110006,26965,2061,,97113,0,,,,4,,,1925,,,372000,610000,2016,238000,6900,,,
17107947,,,,0,0,,,,,,,,,,,,6111,,,,,,,34274276,-119152873,2255,,,,,,1111,261,,61110013.01,,2061,,,0,,,,,,,,,,,75001,2016,75001,854.48,,,
17257947,,,,0,0,,,,,,,,,,,,6111,,,,,,,34260898,-118671161,3750,,,,,,1110,261,,61110075.12,27110,2061,,97116,0,,,,,,,,,,,28370,2016,28370,350.26,,,
17276347,,,,0,0,,,,,,3280,,,3280,,,6111,,,,,,,34167903,-118834113,7750,,,,,,5050,31,,61110071,34278,2061,,96385,0,,,,,,1280,1960,,,28951,93119,2016,64168,1269.22,,,
17303147,,,,0,0,,,,,,1440,,1440,,,,6111,,,,,,,34422767,-119291147,,,,,,,1118,263,,61110011.01,13091,2061,,97099,0,,,,,,,1974,,,,,2016,,,,,
17303347,,,,0,0,,,,,,1368,,1368,,,,6111,,,,,,,34429402,-119289053,,,,,,,1118,263,,61110011.01,13091,2061,,97099,0,,,,,,,1971,,,,,2016,,,,,
17304947,,,,0,0,,,,,,900,,900,,,,6111,,,,,,,34262892,-119240051,,,,,,,1118,263,,61110028,34543,2061,,97083,0,,,,,,,1973,,,,,2016,,,,,
17306947,,,,0,0,,,,,,1344,,1344,,,,6111,,,,,,,34164815,-119137948,,,,,,,1118,263,,61110047.04,13150,2061,762933,97104,0,,,,,,,1971,,,,,2016,,,,,
17307347,,,,0,0,,,,,,,,,,,,6111,,,,,,,34192481,-119174775,,,,,,,1118,263,,61110091,13150,2061,,97101,0,,,,,,,1967,,,,,2016,,,,,
17307547,,,,0,0,,,,,,660,,660,,,,6111,,,,,,,34164018,-119149643,,,,,,,1118,263,,61110047.1,13150,2061,,97104,0,,,,,,,1969,,,,,2016,,,,,
17308947,,,,0,0,,,,,,1248,,1248,,,,6111,,,,,,,34196427,-118958804,,,,,,,1118,263,,61110058.02,34278,2061,46736,96351,0,,,,,,,1970,,,,,2016,,,,,
17309547,,,,0,0,,,,,,1296,,1296,,,,6111,,,,,,,34268764,-118671073,,,,,,,1118,263,,61110083.04,27110,2061,,97116,0,,,,,,,1975,,,,,2016,,,,,
17310147,,,,0,0,,,,,,,,,,,,6111,,,,,,,34270215,-118691763,,,,,,,1118,263,,61110083.03,27110,2061,,97116,0,,,,,,,1968,,,,,2016,,,,,
17311347,,,,0,0,,,,,,1536,,1536,,,,6111,,,,,,,34339245,-119075181,,,,,,,1118,263,,61110005,26965,2061,,97113,0,,,,,,,1976,,,,,2016,,,,,
76914147,1,,,4,4,,,4,,,5044,5044,,,,,6037,,4,,,,2,34153915,-118480682,96580,,,,,,101,261,LAR1,60371414,,3101,,,0,,,,1,,,1944,,,,4000000,2014,4000000,49100.45,,,
76914347,,,,1,2,,,1,,,725,725,,,,,6037,,1,,,,7,34274964,-118437079,5649,,,,,,100,261,LAR1,60371095,,3101,,,0,,,,1,,,1953,,,22771,37548,2014,14777,576.47,,,
76914547,1,,,1,1,,,1,,,693,693,,,,,6037,,1,,,,2,34410721,-118559634,,,,,,,010C,266,SCRM,60379203.3,,3101,,,0,,,,1,,,1989,,,61072,176899,2014,115827,,,,
76914747,,,,2,4,,,2,,,2143,2143,,,,,6037,,2,,,,2,34659491,-118394593,5063,,,,,,100,261,LCR17500*,60379012.1,,3101,,,0,,,,1,,,1984,,,183944,209415,2014,25471,2559.65,,,
76914947,,,,0,0,,,,,,,,,,,,6037,,,,,,,33913286,-118376591,,,,,,,010C,266,ESCM*,60376023.02,,3101,,,0,,,,,,,,,,898260,7636050,2014,6737790,,,,
76915147,,,,0,0,,,,,,,,,,,,6037,,,,,,,34029608,-118388946,7491,,,,,,100V,260,LAM1,60372701,,3101,,,0,,,,,,,,,,1178325,2305418,2014,1127093,28250.39,,,
76916747,1,,,2,2,,,2,,,1018,1018,,,,,6037,,2,,,,2,34087460,-117735338,,,,,,,010C,266,POAP*,60374021.01,,3101,,,0,,,,1,,,1987,,,48300,125000,2014,76700,,,,
167559147,,,,2,2,,,2,66,224,1506,1506,,,224,,6111,,2,2,0,,,34286400,-119151000,,,,,,,1129,266,,61110013.02,,2061,,,4,,,,,,,2015,2,,105410,301410,2016,196000,3221.2,,,
167636147,,,,0,0,,,,,,,,,,,,6037,,,,,,,34168994,-118399186,,,,,,,010V,269,LARD1.5,60371249.02,,3101,,,0,,,,,,,,,,,229954,2016,229954,2771,,,
167636347,1,,,3,3,,4,3,,,2815,2815,,,,,6037,,3,,,,2,34443504,-118495682,,,,,,,100,261,SCRM,60379200.13,,3101,,,0,,,,1,,,2015,,,129100,360577,2016,231477,8478.9,,,
167636547,,,,0,0,,,,,,,,,,,,6037,,,,,,,34424104,-118468083,,,,,,,100,261,SCRM,60379200.35,,3101,,,0,,,,,,,,,,,50595,2016,50595,1241.54,,,
167636747,1,,,2,4,,7,2,,,1604,1604,,,,,6037,,2,,,,2,34616963,-118407494,,,,,,,100,261,LCR17500*,60379200.12,,3101,,,0,,,,1,,,1971,,,107574,150502,2016,42928,2160.43,,,
167636947,1,,,3,3,,4,3,,,1530,1530,,,,,6037,,3,,,,2,33914386,-118377391,,1,,,,1,010C,266,ESCM*,60376023.02,,3101,,,0,,,,1,,,2013,,,382111,682415,2016,300304,9968.65,,,
167637147,1,,,4,4,,10,4,,,2224,2224,,,,,6037,,4,,,,2,33979587,-118409089,,,,,,,010C,266,LAC2(PV),60372756.02,,3101,,,0,,,,1,,,2014,,,600000,1337500,2016,737500,16228.37,,,
167637347,,,,0,0,,,,,,,,,,,,6037,,,,,,,34061234,-118396845,,,,,,,010V,260,BHR4YY,60377009.02,,3101,,,0,,,,,,,,,,461552,613941,2016,152389,7127.04,,,
167637747,,,,0,0,,,,,,,,,,,,6037,,,,,,,34094580,-118129625,,,,,,,100V,260,ALCBD/DRD*,60374803.04,,3101,,,0,,,,,,,,,,313712,496457,2016,182745,5685.89,,,
167637947,1,,,3,3,,4,3,,,1733,1733,,,,,6037,,3,,,,2,34108451,-118264963,,,,,,,010C,266,LARD1.5,60371882.01,,3101,,,0,,,,1,,,2015,,,448773,600478,2016,151705,11972.94,,,
167638147,,,,1,1,,7,1,,,755,755,,,,,6037,,1,,,,7,34140569,-118245926,,,,,,,100,261,GLR4YY,60373022.02,,3101,,,0,,,,1,,,1921,,,17277,107608,2016,90331,,,,
167638347,,,,4,4,,4,4,,,1978,1978,,,,,6037,,4,,,,2,33935504,-118235860,,,,,,,100,261,LAR1,60372431,,3101,,,0,,,,1,,,2015,,,240500,350000,2016,109500,4836.07,,,
167638547,1,,,2,3,,4,2,,,1804,1804,,,,,6037,,2,,,,2,33836394,-118140316,,,,,,,100,261,LBR1N,60375712,,3101,,,0,,,,1,,,2015,,,10152,269040,2016,258888,3406.45,,,
167645347,,,,0,0,,,,,,,,,,,,6111,,,,,,,34282725,-119300272,,,,,,,1129,266,,61110023,,2061,,,0,,,,,,,,,,176653,223905,2016,47252,2415.18,,,
167645547,,,,0,0,,,,,,,,,,,,6111,,,,,,,34335600,-119122260,,,,,,,1118,263,,61110008,,2061,,,0,,,,,,,2014,,,64819,64819,2016,,743.94,,,
167646347,,,,0,0,,,,,,,,,,,,6111,,,,,,,34335600,-119122260,,,,,,,1118,263,,61110008,,2061,,,0,,,,,,,2015,,,64716,64716,2016,,742.76,,,
167655947,,,,0,0,,,,,,,,,,,,6037,,,,,,,34443504,-118495682,,,,,,,100,261,SCRM(PD),60379200.13,,3101,,,0,,,,,,,,,,,102517,2016,102517,4473.85,,,
167656147,,,,0,0,,,,,,,,,,,,6037,,,,,,,34143864,-117876441,,,,,,,100,261,GDE6,60374009,,3101,,,0,,,,,,,,,,,406100,2016,406100,4847.65,,,
167686147,,,,0,0,,,,,,,,,,,,6037,,,,,,,34279497,-118580979,,,,,,,012C,266,LAC4,60371082.02,,3101,,,0,,,,,,,,,,366800,606800,2016,240000,7317.16,,,
167687547,1,,,3,4,,4,3,,,2064,2064,,,,,6037,,3,,,,2,33915086,-118372591,,1,,,,1,010C,266,ESCM*,60376023.02,,3101,,,0,,,,1,,,2014,,,472598,893926,2016,421328,13206.48,,,
167687747,,,,0,0,,,,,,,,,,,,6037,,,,,,,34047268,-118473674,,,,,,,200,246,LAR2,60372643.02,,3101,,,0,,,,,,,,,,435000,2091855,2016,1656855,25006.73,,,
167688547,,,,0,0,,7,,,,18226,18226,,,,,6037,,,,,,,34120760,-118249391,,,,,,,100V,260,LAM1,60371864.01,,3101,,,0,,,,,,,1992,,,1030880,2583192,2016,1552312,31640.05,,,
167689147,1,,,0,0,,4,,,,11592,,,11592,,,6037,,,,,,,33792993,-118219767,,,,,,,400,248,LBPD13,60375728,,3101,,,0,,,,4,,,1960,,,222253,1158285,2016,936032,,,,
167689347,,,,0,0,,,,,,,,,,,,6037,,,,,,,33973387,-118042800,,,,,,,010C,266,WHM2*,60375018.03,,3101,,,0,,,,,,,,,,,74773,2016,74773,977.09,,,
167690547,,,,0,0,,,,,,420,420,,,,,6037,,,,,,,34026488,-118463725,,,,,,,070P,263,,60377018.01,,3101,,,0,,,,,,,2014,,,,,2016,,218.08,,,
168040347,,,,2.5,2,,,2.5,,,1245,1245,,,,,6059,,2,2,0,,,33699113,-117730315,,,,,,,1,266,,60590524.26,,1286,,,0,,1,,,,,2014,,,202088,519438,2016,317350,8352.1,,,
